Generation 162, Best fitness: 33.37134056433821, Average fitness: 26.024835336530124
Generation 163, Best fitness: 33.37134056433821, Average fitness: 26.049019155755108
Generation 164, Best fitness: 33.16959325983974, Average fitness: 26.03780701367917
Generation 165, Best fitness: 33.055232420800465, Average fitness: 25.918019143715416
Generation 166, Best fitness: 33.055232420800465, Average fitness: 25.949292752010642
Generation 167, Best fitness: 33.055232420800465, Average fitness: 25.97222255306088
Generation 168, Best fitness: 33.017284531234345, Average fitness: 26.011965913949734
Generation 169, Best fitness: 33.017284531234345, Average fitness: 25.91327356366598
Generation 170, Best fitness: 33.105579907730615, Average fitness: 25.885648861827548
Generation 171, Best fitness: 32.726718131327026, Average fitness: 25.910154907729158
Generation 172, Best fitness: 32.88679646138632, Average fitness: 25.922826292371987
Generation 173, Best fitness: 32.88679646138632, Average fitness: 25.897084983381486
Generation 174, Best fitness: 32.88679646138632, Average fitness: 25.918051199474796
Generation 175, Best fitness: 33.29305519885785, Average fitness: 25.96715068559964
Generation 176, Best fitness: 33.09507783092635, Average fitness: 26.006332515740063
Generation 177, Best fitness: 33.09507783092635, Average fitness: 26.004095666917973
Generation 178, Best fitness: 33.138009078844476, Average fitness: 25.980110995521695
Generation 179, Best fitness: 33.09731863613037, Average fitness: 26.004361790825328
Generation 180, Best fitness: 33.09731863613037, Average fitness: 26.000178252889572
Generation 181, Best fitness: 33.214336723858544, Average fitness: 25.995267054595317
Generation 182, Best fitness: 33.214336723858544, Average fitness: 25.981574939550026
Generation 183, Best fitness: 33.214336723858544, Average fitness: 25.98148403918646
Generation 184, Best fitness: 32.89053473158353, Average fitness: 25.96232988060298
Generation 185, Best fitness: 33.38737080959015, Average fitness: 25.963279842791593
Generation 186, Best fitness: 33.02331036498026, Average fitness: 25.966375625832107
Generation 187, Best fitness: 33.13420390289561, Average fitness: 26.005889781485305
Generation 188, Best fitness: 33.13420390289561, Average fitness: 26.005350686857522
Generation 189, Best fitness: 33.13420390289561, Average fitness: 25.99375368745843
Generation 190, Best fitness: 33.251055232090046, Average fitness: 25.99767111227082
Generation 191, Best fitness: 33.251055232090046, Average fitness: 26.03030796888948
Generation 192, Best fitness: 33.251055232090046, Average fitness: 26.03447348203369
Generation 193, Best fitness: 33.29334989653931, Average fitness: 25.998670529107994
Generation 194, Best fitness: 33.29334989653931, Average fitness: 26.025550271327035
Generation 195, Best fitness: 33.29334989653931, Average fitness: 26.02631163354974
Generation 196, Best fitness: 33.29334989653931, Average fitness: 26.03994265658367
Generation 197, Best fitness: 33.68559226295544, Average fitness: 25.985438131796574
Generation 198, Best fitness: 33.68559226295544, Average fitness: 26.01322376954773
Generation 199, Best fitness: 33.074054705548264, Average fitness: 25.932867202728225
Generation 200, Best fitness: 33.25471139196335, Average fitness: 25.89833980738397
Generation 201, Best fitness: 33.25471139196335, Average fitness: 25.90886807995645
Generation 202, Best fitness: 33.05223533034666, Average fitness: 25.986186523964463
Generation 203, Best fitness: 32.893205064157186, Average fitness: 25.95352946668546
Generation 204, Best fitness: 33.16959325983974, Average fitness: 26.00055080212915
Generation 205, Best fitness: 33.16959325983974, Average fitness: 26.052230646155078
Generation 206, Best fitness: 33.20926685091129, Average fitness: 26.09998655607947
Generation 207, Best fitness: 33.20926685091129, Average fitness: 26.120429507742237
Generation 208, Best fitness: 33.08421063056181, Average fitness: 26.118207160325866
Generation 209, Best fitness: 33.3889430497289, Average fitness: 26.094712006070658
Generation 210, Best fitness: 33.21517338975285, Average fitness: 26.059719294034426
Generation 211, Best fitness: 33.01798839359426, Average fitness: 26.04251325094746
Generation 212, Best fitness: 32.90434652709572, Average fitness: 26.028488719968816
Generation 213, Best fitness: 32.66733560375669, Average fitness: 26.00777266522677
Generation 214, Best fitness: 32.794624669744714, Average fitness: 26.026400990007286
Generation 215, Best fitness: 32.88648824836518, Average fitness: 25.985064099022967
Generation 216, Best fitness: 32.95799670335856, Average fitness: 25.967272651606272
Generation 217, Best fitness: 32.98280276078683, Average fitness: 25.993123048423747
Generation 218, Best fitness: 33.159572341401905, Average fitness: 25.977108823868722
Generation 219, Best fitness: 33.01774109635187, Average fitness: 25.96620454792888
