Population: 300, Number of Generations: 400
Generation 156, Best fitness: 28.2170752183052, Average fitness: 21.971410837368147
Generation 157, Best fitness: 28.67039177553589, Average fitness: 22.09446973708808
Generation 158, Best fitness: 28.0884572209829, Average fitness: 22.097934748576176
Generation 159, Best fitness: 28.0884572209829, Average fitness: 22.041011897594895
Generation 160, Best fitness: 28.15709665293438, Average fitness: 22.189195212955898
Generation 161, Best fitness: 27.74234527016239, Average fitness: 22.031046170290622
Generation 162, Best fitness: 27.843562096060154, Average fitness: 21.870367842010797
Generation 163, Best fitness: 27.8522742160898, Average fitness: 21.88881575000215
Generation 164, Best fitness: 28.079728400522093, Average fitness: 21.96557293124607
Generation 165, Best fitness: 28.030572233574528, Average fitness: 21.742759970503993
Generation 166, Best fitness: 28.030572233574528, Average fitness: 21.85856864422436
Generation 167, Best fitness: 28.030572233574528, Average fitness: 21.9469568652474
Generation 168, Best fitness: 28.12725434613477, Average fitness: 21.94108788704571
Generation 169, Best fitness: 28.12725434613477, Average fitness: 22.111880427105955
Generation 170, Best fitness: 28.038273211448388, Average fitness: 21.975119876675276
Generation 171, Best fitness: 28.776730664062967, Average fitness: 21.90599599634496
Generation 172, Best fitness: 28.151456635677405, Average fitness: 21.93850588498154
Generation 173, Best fitness: 28.56757305337911, Average fitness: 21.987147630840308
Generation 174, Best fitness: 28.56757305337911, Average fitness: 22.040675214112493
Generation 175, Best fitness: 28.414663820524588, Average fitness: 22.011893725660798
Generation 176, Best fitness: 28.414663820524588, Average fitness: 22.078249489863314
Generation 177, Best fitness: 28.460083983902322, Average fitness: 22.058166569842317
Generation 178, Best fitness: 28.512751159378695, Average fitness: 22.145207821807677
Generation 179, Best fitness: 28.831255579036615, Average fitness: 22.227793510253036
Generation 180, Best fitness: 28.831255579036615, Average fitness: 22.11328844035848
Generation 181, Best fitness: 28.831255579036615, Average fitness: 21.95978972602249
Generation 182, Best fitness: 28.695170842587817, Average fitness: 22.00224198394703
Generation 183, Best fitness: 28.419548882693935, Average fitness: 22.078310101506535
Generation 184, Best fitness: 28.243904438409704, Average fitness: 22.104598444904116
Generation 185, Best fitness: 28.243904438409704, Average fitness: 22.088410482911833
Generation 186, Best fitness: 28.348983225229112, Average fitness: 22.101437364163832
Generation 187, Best fitness: 28.360965529588515, Average fitness: 22.322670816556048
Generation 188, Best fitness: 28.348983225229112, Average fitness: 22.356463911295286
Generation 189, Best fitness: 28.48899452615047, Average fitness: 22.31279247618754
Generation 190, Best fitness: 28.48899452615047, Average fitness: 22.18188722302096
Generation 191, Best fitness: 28.48899452615047, Average fitness: 22.20967637234353
Generation 192, Best fitness: 28.48899452615047, Average fitness: 22.174713570515536
Generation 193, Best fitness: 28.48899452615047, Average fitness: 22.096813056297353
Generation 194, Best fitness: 28.148879295308483, Average fitness: 22.093492349132788
Generation 195, Best fitness: 28.105103354549424, Average fitness: 22.054905510349442
Generation 196, Best fitness: 28.182491568336665, Average fitness: 22.26024565865374
Generation 197, Best fitness: 28.59990158715586, Average fitness: 22.27687364231271
Generation 198, Best fitness: 28.038273211448388, Average fitness: 22.1649403442817
Generation 199, Best fitness: 28.057099287397342, Average fitness: 22.02952577776215
Generation 200, Best fitness: 28.627827747609402, Average fitness: 22.045338387544337
Generation 201, Best fitness: 28.08085551129567, Average fitness: 22.154235982180992
Generation 202, Best fitness: 27.959442214296168, Average fitness: 22.121560069282776
Generation 203, Best fitness: 28.272759231955135, Average fitness: 22.1550769593697
Generation 204, Best fitness: 28.138099344990092, Average fitness: 22.200203850527867
Generation 205, Best fitness: 28.138099344990092, Average fitness: 22.19948465430132
Generation 206, Best fitness: 28.64703889588913, Average fitness: 22.22607067465156
Generation 207, Best fitness: 28.322356032214827, Average fitness: 22.2275340391105
Generation 208, Best fitness: 28.356878615407748, Average fitness: 22.233009336414046
Generation 209, Best fitness: 27.848391119600343, Average fitness: 22.29597494387141
